county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
31059,Fillmore,NE,32.35701903493055,60.0313486776619,7.611673634400698,5.959078727737706,31.304108666023488,1.3331808088696957
31065,Furnas,NE,27.594075595219714,49.99028193805392,22.415407775684773,6.913346508970756,21.850389093042644,1.3958317635796562
31175,Valley,NE,24.217706358381502,44.2598612716763,31.522521772639692,6.698609633911369,27.489089788053953,1.3701603082851637
31091,Hooker,NE,19.24361022364217,20.884419491919722,59.871840007444405,6.592254722541021,29.046538354167314,1.3344930053661712
31177,Washington,NE,34.55191881437698,60.66858185927246,4.77885609978704,6.475250988743535,28.22280846625234,1.4162003998435395
31027,Cedar,NE,32.71809532262359,48.4517937339132,18.83032928019881,6.677094168811574,32.4376604242478,1.3855887103931837
31169,Thayer,NE,32.72271405838791,54.849141624334415,12.428431972580942,6.025817063467777,28.515072831874654,1.3579787624701636
31093,Howard,NE,25.302617574257425,45.12693224009901,29.570881806930693,6.585843131188119,29.45003712871287,1.3731372215346533
31147,Richardson,NE,33.67484529529436,60.14612163248519,6.1788479874366695,6.515390080203406,25.53342556413468,1.354194320327544
31081,Hamilton,NE,29.415571727864155,55.42037490351747,15.163850479655972,6.177821148969015,31.063991619803726,1.3542668430918514
31125,Nance,NE,27.038466083442927,40.12685116358854,32.83380982331751,6.352856080965178,30.379911182266948,1.3673368021804182
31079,Hall,NE,24.541521198980803,51.20555335749442,24.2533559118173,6.6288714450757285,28.34890088151044,1.3640945131118745
31049,Deuel,NE,19.582186697563724,39.08394814304503,41.33346589841548,6.922436901108536,17.75634590092065,1.3957573432704953
31063,Frontier,NE,22.1712157578085,37.9507568484383,39.878302611367126,6.8560675883256526,22.801088069636457,1.3666175435227854
31123,Morrill,NE,16.83590559702086,28.573722488342856,54.590424431465536,7.316762417047281,21.569451119563315,1.3554915097792701
31107,Knox,NE,31.357756495014833,44.143751563449236,24.498788550191186,7.020855519422507,31.463858414037094,1.3688032019440373
31115,Loup,NE,14.727948510160829,24.503532913601795,60.7682520882683,6.367543012093256,24.464812679217054,1.3944941403814985
31023,Butler,NE,33.23841297504935,52.81007095730113,13.95107502978784,6.182082836869343,30.494782237555796,1.3877306112286818
31135,Perkins,NE,19.980860986271008,32.37522163393462,47.6439650926553,6.8230807116911905,19.319134396355352,1.3877313304192576
31031,Cherry,NE,17.587975524143822,20.64347784840148,61.768519748284476,6.668042247731082,34.81219207538817,1.333983334914461
31037,Colfax,NE,34.81832052020185,52.46886070376265,12.712915297862974,6.313890676330138,29.583254309614926,1.4201688285298202
27153,Todd,MN,12.474607883307383,26.861468491354582,60.66358928132426,6.095796115709252,48.10297795624027,1.2265688765057774
27105,Nobles,MN,35.53228791212221,44.477546848913235,19.990577166128354,6.628438577603021,39.75036901808423,1.3823632760692164
27095,Mille Lacs,MN,19.015395171419268,45.67538261152719,35.30908266269712,5.722007722007723,53.050004651811875,1.1803121365771967
27001,Aitkin,MN,16.063498230637336,41.001380832512496,42.93560431943381,5.622866732333735,55.27184159643939,1.1897114297179963
27085,McLeod,MN,27.001658583540042,37.146571767057864,35.85124208655733,6.839304357483988,42.80002961756322,1.3417833475250824
27057,Hubbard,MN,13.030939064388054,25.90510788883135,61.0641757293285,5.946017607457276,49.097773174520974,1.1772698083894355
